isin,year,total_assets,net_income,total_revenue
CA00829Q1019,1997,70762345.56665209,2207336.9067914356,8218600.45993518
CA00829Q1019,1998,3998669731.055383,573564706.5543299,530487375.58587444
CA00829Q1019,1999,2327790127.168999,127089199.10934937,380417947.3513391
CA00829Q1019,2001,3824681666.472501,63836703.45155236,3014849766.645568
CA00829Q1019,2002,8599418073.322533,108566045.01903908,4955116067.256777
CA00829Q1019,2005,132748285.1025493,5419057.724111706,100827795.61169767
CA00829Q1019,2006,3854226483.748907,-162943373.96314356,428498934.8822458
CA00829Q1019,2008,2410330557.7135143,126540340.31778966,1393856712.648457
CA00829Q1019,2009,8331965797.87047,-18620677.98837505,1844324434.2975426
CA00829Q1019,2010,1822442654.2718444,11461284.669588333,1145866262.9148629
CA00829Q1019,2012,2079495834.5156014,-191670618.14498442,1034320910.3199297
CA00829Q1019,2013,8422863517.472526,-10212225.062167289,3494038729.002123
CA00829Q1019,2014,9266595992.051363,-170179254.34075513,5644194632.55915
CA00829Q1019,2018,5704482699.656553,800299026.108027,2650211287.959669
CA00829Q1019,2019,8445354033.3966465,294937378.4264732,5262503437.810675
CA00829Q1019,2021,5867552981.521915,303696104.3227883,4551335957.399473
CA19044R1082,1998,635677147.0252078,-11889813.100985289,201946763.23296204
CA19044R1082,1999,7296088822.762807,888686861.3546872,3985782040.7128634
CA19044R1082,2000,4722202030.126977,369801292.53778,867543936.6856451
CA19044R1082,2001,7607874407.664113,705567928.614908,3749875939.6624947
CA19044R1082,2002,4938006584.084271,33999432.49672594,2300681365.6521277
CA19044R1082,2003,254288725.5282775,-23430850.65965994,44633773.978715956
CA19044R1082,2004,6364140471.596678,172739782.41762716,2036837982.319099
CA19044R1082,2006,9075673982.613537,23558006.11448583,2491313896.969277
CA19044R1082,2007,7555535830.316632,-610147466.300166,1965638499.129531
CA19044R1082,2008,2897585553.9923887,383711066.35288054,616765286.4595212
CA19044R1082,2010,8081222983.606214,952494539.3223835,4391196194.870805
