isin,year,total_revenue,cfo,cogs,total_debt,capex
CA00829Q1019,1997,1319746961.046079,577940477.6494249,787669739.9179243,1193175165.5679877,317638521.76084656
CA00829Q1019,1998,2367884107.073865,1289800062.6201754,1169273366.8488789,3162307334.4954767,792286210.5130489
CA00829Q1019,2000,62067218.27551146,-8601388.275148539,28652269.765039936,152535833.50257388,32903999.14258422
CA00829Q1019,2001,3177425983.4851704,638680417.5997479,1861041346.8340003,1742354811.2119296,586969427.2281005
CA00829Q1019,2002,5067709851.337824,504748789.19354934,2247892070.279562,1478710547.5416543,524692910.95592284
CA00829Q1019,2004,3281431608.7249126,155387540.86183953,2359649129.9414754,2380213068.0036473,159842115.30538258
CA00829Q1019,2005,1985142292.2153387,57769292.49164734,1484385614.8129132,1119106902.8379505,187020763.11950564
CA00829Q1019,2006,2422102908.4394956,-51536058.26394379,1482387058.96789,2155274715.0008636,1137089742.3332012
CA00829Q1019,2007,804374867.9322915,144670929.86913905,390056850.7235538,324710184.54333967,251539762.74921438
CA00829Q1019,2008,4314555226.0859,763625435.0174102,2260625896.16683,2390239291.7481294,1186175715.542605
CA00829Q1019,2009,497336381.94481695,4986846.277775132,379919121.0273189,305628139.9825141,142361076.12112436
CA00829Q1019,2011,2668164653.1105094,320438336.6395396,1314126035.9040096,2664749700.5583167,657140018.4208586
CA00829Q1019,2012,22655044.562023472,-1626477.2543601491,9584425.164045474,22278292.20071215,2405376.970782942
CA00829Q1019,2013,2726946201.578203,-325276160.43822885,2043575954.9047017,2868182068.057417,390783681.3820565
CA00829Q1019,2014,3735358724.0209837,207249261.3839129,1782767680.9741333,4503342665.471365,820510474.0659951
CA00829Q1019,2015,4517639865.953541,369458339.2627117,3376614422.8976855,877707994.9574633,557255132.2776746
CA00829Q1019,2016,2639396646.831927,937942663.7758182,1382198178.0739517,2228882563.0415254,340848590.9066324
CA00829Q1019,2017,2241973885.3419747,129696641.97772086,1149972042.539464,2065592582.3560493,611305457.7585037
CA00829Q1019,2018,1793199367.2962422,871055559.3346251,1171159206.4883711,952138523.3195342,768009282.2728946
CA00829Q1019,2019,2370277907.0930133,-170034333.45658574,1010175981.4713998,1899008795.0779264,483848605.2156506
CA00829Q1019,2020,237875043.9298305,20852717.868614428,172919449.53672668,255334965.21216717,57397660.92966804
CA00829Q1019,2022,2163725201.860673,66156717.02280185,1226222139.9648638,1377826401.0451,592156734.7304664
CA19044R1082,1997,239504857.92194438,59440331.65822519,110846223.19705999,549426010.7754272,186788207.54129583
CA19044R1082,1998,1094257805.3268347,-61955237.39381054,842347232.2596078,705546339.4617751,228141991.5851038
CA19044R1082,2000,577873069.2105306,60026900.07970613,331261270.72359747,283784422.7123027,55630968.65426801
CA19044R1082,2001,6352501321.246628,605574040.5253193,4206692236.22596,3527197262.381596,692602347.5459824
CA19044R1082,2003,820809018.7116244,455988895.0920281,555109274.4844441,1141911827.402454,232442732.1103977
CA19044R1082,2004,2519740025.352684,1289555904.8600366,1715544201.5755637,978529138.7480272,185636447.96148652
CA19044R1082,2005,3679965971.1353583,1059175543.4528877,2224638628.919363,1481708723.5648775,494469400.7984562
CA19044R1082,2006,3197179196.673922,257643092.9573695,1521303769.8570566,2664408768.70005,1061028812.7286482
CA19044R1082,2007,357729528.0402075,61254006.89842288,229369045.6802576,255036371.31755581,48243616.57621887
CA19044R1082,2008,488337619.2740429,132087173.78703392,228999603.09835386,398358270.0945875,110561784.35476436
CA19044R1082,2009,1399446474.5160584,-53086636.83239577,1018876543.5696834,506303209.88479215,245841925.73764172
CA19044R1082,2010,127073646.3210087,17658967.220561273,71638551.52722833,110541957.02238978,51439287.688240014
CA19044R1082,2011,2575970303.311045,771985633.3166238,1151156654.803154,1675974618.2242591,158668835.57774523
CA19044R1082,2012,844930042.0420873,51610657.54693142,499973553.21177876,272428846.0982395,177368485.8042373
CA19044R1082,2013,1298062423.6200686,432638326.63296056,677647593.2127371,970392676.3998317,279507359.59216803
CA19044R1082,2015,5213512460.0876665,-254212290.71390912,3989861996.066113,1983572403.0356457,637825421.9888569
CA19044R1082,2016,666352189.7363521,259837523.37245083,352518365.8852275,514198236.0885151,135054536.3817728
CA19044R1082,2017,2491290064.7841773,566914634.7459648,1396304229.5709174,2370882620.390741,167846916.1180277
CA19044R1082,2022,2298289775.012582,114771669.90872413,1320236325.8235009,1408526570.527802,611999214.0726826
CA19044R2072,1998,1004369820.8403491,124023144.2183797,513110409.12316084,204920045.38362402,136828905.95802245
CA19044R2072,2000,1169938990.2857254,140377470.83530548,773808534.0238137,1658863086.8398967,368568792.8235472
CA19044R2072,2001,2873434794.9049797,-296256048.94262326,1432573957.6377695,5282978824.106034,236951851.8153731
CA19044R2072,2002,494592267.1490836,171277761.80913916,373753208.53362614,2041653691.3146129,309592510.6729004
CA19044R2072,2003,5427517363.356602,1126131840.5679162,2375778001.799462,4802402636.522903,802491295.609084
CA19044R2072,2005,4185908435.414366,764703260.2955674,1740004503.0206363,3521612506.7646866,930209729.4491323
CA19044R2072,2010,2892988473.846883,419488797.4032739,2211850533.9807544,2468762774.959833,605286799.9262025
CA19044R2072,2013,443198105.31773317,25400568.14330218,292168805.78212565,568020553.7421083,85503398.416708
CA19044R2072,2015,1109651666.8659291,403300525.0812364,628460789.5650964,1324246565.3495417,230186569.36809707
CA19044R2072,2018,3437858945.6321898,389717626.84673595,2365080944.4090066,2370322183.776189,318509210.24151677
CA19044R2072,2020,2742586898.0734897,649604632.5631762,1176486918.1912303,2494044091.4344106,497653811.47682035
CA19044R2072,2022,797362766.1362283,541495074.1266391,504126630.6225522,1986243641.1515615,575417140.1468557
CA29786T1057,1998,496549140.5116591,-85390048.04554139,209338673.99945962,1705259128.3714035,312164072.800613
CA29786T1057,1999,464982842.09754807,175068577.66106394,329955507.9395271,172708055.94717202,144458188.91643676
CA29786T1057,2000,2514899097.1837835,3408628.8254408934,1163450219.9630046,1093340114.0847013,262630566.0309045
CA29786T1057,2004,316336315.9468039,37828896.570392124,230762352.5187184,264643774.75011092,79812173.14160486
CA29786T1057,2005,1685381176.1598508,598137353.048749,1207259457.5719748,725387505.1630409,475116065.77708346
CA29786T1057,2006,3509835305.1125193,123138498.78181642,1868343808.4305503,1605726886.605641,658217804.1423707
CA29786T1057,2007,835922946.376474,242055074.18941867,603918755.7088293,209739465.75530356,156443712.62114567
CA29786T1057,2008,3407666741.393277,284496597.3485562,1441583725.0054715,2857571585.649936,230635533.92223603
CA29786T1057,2009,659000256.5195264,386695274.6358739,268201691.48233795,2960481456.5327787,767396761.6690358
CA29786T1057,2013,2276239343.3805985,-76125480.21678403,1446162392.1226265,445459162.57965547,281185052.78051734
CA29786T1057,2016,1493619817.1864977,1491598142.3127878,819981853.2219951,4172713512.346014,496623684.098914
CA29786T1057,2020,2560300352.082648,-167686080.7823228,1031426816.5090415,2092276499.9616904,198723633.68650937
CA29786T1057,2022,3427008498.0442953,932049726.92846,2014268471.2471998,4647303570.081294,751222856.4620067
CA46016U1084,1997,1357667504.0362418,-77683878.5335387,983230114.0794495,1831845516.2304437,669729736.842247
CA46016U1084,2001,2306124193.769106,1761334989.3300393,922525214.710462,4886053693.987622,1259351319.8715334
CA46016U1084,2003,2581272441.3017683,199760370.96592903,1252259409.279708,2184640477.4439354,152033180.79675865
CA46016U1084,2008,4000549087.643256,236084399.21195462,2282066269.197106,4991568178.352133,780265390.7605153
CA46016U1084,2009,5631062656.22527,207802596.84810582,4330022195.170724,2170116092.2560115,782798795.6550785
CA46016U1084,2012,3323167672.7783227,306479272.3193053,1857735870.8101985,1803242547.308615,320476578.8337698
CA46016U1084,2014,1679232941.2049196,304331454.80343366,819870919.7623487,1725537250.7253854,565201629.7712227
CA46016U1084,2015,3631483493.1132574,1524641733.1720762,1501914224.897625,3179355039.7968225,215556473.87098074
CA46016U1084,2018,2412343219.101514,601112261.1060373,1095853510.9737308,3064797267.3413754,709083726.8414491
CA46016U1084,2022,1156927380.6771476,319798798.1831269,711585976.2847651,692893730.0322328,306196042.7279204
CA48086P1009,1997,3757330457.235904,-217321269.83423308,2285536504.126841,905294697.2452667,650401273.8060896
CA48086P1009,1998,2013754969.401211,103991525.06936948,1062001837.1321307,2867970322.089913,375312788.1099147
CA48086P1009,1999,4894856621.665759,1441920332.6733112,3638694748.099734,5110923402.857898,978879860.4644876
CA48086P1009,2000,4938621589.716,1041691101.842517,3171043163.3573337,3687721785.1302757,203910994.2639025
CA48086P1009,2001,3379814215.7895355,342117579.6524374,1680392507.0621424,1638630392.3069298,373473337.86599576
CA48086P1009,2002,570247747.0204376,141159060.1239302,329887948.770959,456573571.17020637,28732539.111678388
CA48086P1009,2003,188677150.6449115,60657711.71350425,128872615.97793204,171883350.31820688,25812803.708200596
CA48086P1009,2004,2628993367.349544,276459859.9621743,1286047017.9298432,951021283.5460491,667524055.180763
CA48086P1009,2005,831194147.810294,-80814998.75868191,654128716.2476535,337727973.64886516,112947845.6316253
CA48086P1009,2006,6933485980.548695,1839156533.6454732,3222686615.66221,4477105969.18626,849482348.2975171
CA48086P1009,2008,6674957267.7945385,1062941457.4578538,3714791253.4121885,3947558809.245237,582369365.2676551
CA48086P1009,2009,765612933.705953,69546081.45344858,386873720.12073517,1035257795.8806567,143425279.61110058
CA48086P1009,2010,2296868930.5368004,785518659.0773612,1833692520.3045,1356123755.983592,224398323.02726436
CA48086P1009,2011,7180857565.032008,-431525415.4031417,4657011252.0370865,2006782384.9708126,1171110123.1300356
CA48086P1009,2012,3657613950.5614886,162452770.75443617,1997818905.2763722,1387476733.1739764,306821001.5276114
CA48086P1009,2014,6344701787.484304,16789749.712196935,2956071076.462793,4075005606.472946,1137468658.8233767
CA48086P1009,2016,1736803603.466542,56321198.48803881,1378416464.1517835,3198382709.7369804,781064698.2251016
CA48086P1009,2017,5420780639.588484,770921367.0723072,3436567344.9907017,4665866249.497414,326844449.3272152
CA48086P1009,2018,16116003.13585781,674363.9999368532,9660948.744960953,5969899.681960078,2616833.17501672
CA48086P1009,2019,2443837940.884661,615700035.6507047,1408102277.2419913,528069562.80023736,315639023.8754976
CA48086P1009,2020,1330674990.3758743,822865225.2623907,1034527812.8094558,1502330891.967022,152338295.65652066
CA48086P1009,2021,599785713.6038448,71537881.05900761,356085526.40259737,1007213254.8933352,169327690.06431314
CA48086P1009,2022,6937274285.79223,895767894.6608875,3384934627.5315466,4558582361.460121,1243593865.853069
CA54928Q1081,1997,233621261.64067373,300664876.5797562,144934264.3622913,1039230352.8991882,65607941.53354083
CA54928Q1081,1998,3958734687.889516,1278624834.0763164,2049859731.397309,1586959432.9882894,192931079.14154348
CA54928Q1081,1999,3043117126.178806,179909205.53450578,1515058205.7105482,1982703428.5854197,702427500.4279689
CA54928Q1081,2001,1843766644.8289995,605113119.525821,923193923.9029287,3620651914.1907806,750609437.403136
CA54928Q1081,2002,2596824057.2881002,422469903.1173909,1824071571.874378,2751677816.4722853,717496279.495869
CA54928Q1081,2004,5749922164.079511,423973024.69296575,2866499505.7627845,2196852623.434632,965661739.426184
CA54928Q1081,2006,2036394569.5835526,466373965.6150268,907017536.1818596,1274058629.148154,416959415.7769171
CA54928Q1081,2007,2315880005.4924216,835555693.1574383,1439932790.3149722,2058480446.6693625,391351092.90549344
CA54928Q1081,2009,1275506834.7803342,195814215.0623123,615221733.3795702,988959796.5220249,85393510.33025907
CA54928Q1081,2013,1573099047.7700903,85686332.36563137,1150032952.4015489,525399002.61625975,82601609.32272393
CA54928Q1081,2014,6764796184.010316,774737922.0093796,5139598832.413131,1552960820.04878,265117072.0628027
CA54928Q1081,2017,2460345311.74002,529903977.65147656,1916689534.924177,592876532.7336806,246586224.1565137
CA54928Q1081,2019,600222786.3249007,176137821.8010796,404508346.49025357,646296197.8815688,81331305.45155352
CA54928Q1081,2020,1868105127.2824426,150504044.45099655,1039485283.2043107,1599425561.9486668,502612397.71128845
CA54928Q1081,2021,98134840.42935999,12403198.791265389,75442919.57558814,33121068.531417478,21050896.151806884
CA54928Q1081,2022,2243862389.4383674,224468199.96520212,1516808384.2795107,764787424.7493718,558151470.3858992
CA5503711080,1998,3362664772.604848,872808607.1131552,1728220635.793158,1062460393.1354281,1363535692.5632024
CA5503711080,2001,78726360.84978801,14069660.617247235,49279277.84682961,56585599.35126205,9671407.619237717
CA5503711080,2003,2825523332.1417446,46433060.75497004,2200495199.3559747,1803892010.8072493,223617826.61948466
CA5503711080,2004,3897279166.725038,84306131.36095816,2719401692.501951,5042273944.550984,662208164.4106728
CA5503711080,2005,3757701534.581125,477779385.0928501,2803606906.4782023,2167555567.1221285,667514583.6842115
CA5503711080,2006,1253290101.1986609,68349589.44333984,701784856.3496467,1150541188.2288418,122418586.38600624
CA5503711080,2007,2237789158.73861,384803179.5646297,1626663901.0576305,1856362055.9736624,88340268.94426094
CA5503711080,2009,1484372501.3148477,359354147.3094807,945109251.8773117,521331358.1220664,86180595.048693
CA5503711080,2010,1887588369.9558885,190962960.25359294,1207861741.2964935,2258244375.336775,83341524.90231247
CA5503711080,2011,3389155791.410896,-124058866.33083452,2524336287.399013,2337770827.0361333,1293007825.6531184
CA5503711080,2012,3228832075.707744,-129305617.33491573,2441245509.209765,3202681782.5640717,817197468.5292344
CA5503711080,2014,4350820536.671855,-12079809.191222131,2940509053.669832,3367100817.1434245,721286157.1202234
CA5503711080,2015,1605509808.1741724,1017277225.374674,703252109.9866357,3466970993.4481416,601615684.7703398
CA5503711080,2016,709691725.4752704,-30849737.23193825,334685252.6275244,852381265.9416313,139377290.5394088
CA5503711080,2019,1926071047.7454643,-146728007.520876,1513362317.040983,716168881.8003631,201260090.62084407
CA5503711080,2021,1166365238.7129447,109087545.41436468,871872741.215408,515325566.74726695,132146604.33342892
CA5503721063,1997,2818792904.6083956,1322002566.9473503,1715252727.8373752,2314344033.4952536,458681557.32269824
CA5503721063,1999,1229240696.292572,308227031.8059311,756015351.3095961,824815439.6570961,259089021.1278172
CA5503721063,2003,326813053.64389306,131097251.5156509,188873430.9851555,218254536.90111858,109187968.20487158
CA5503721063,2005,1402986413.0147717,814061177.3751951,710890270.0249076,2217168015.9138465,441691264.19320863
CA5503721063,2008,1919771571.803936,1035363510.3294185,1153420780.6443264,5188773246.9163265,199719229.6240211
CA5503721063,2014,357048395.13951373,412102171.6183033,258136375.70596954,992960300.7246355,268524382.1573296
CA5503721063,2016,2563925178.9758253,744516446.0363872,1420763963.77802,1699550481.5517688,713249390.7002248
CA5503721063,2017,7828152681.545086,192483890.30268052,4286573130.2762675,3713844020.956337,599462657.4249365
CA5503721063,2019,6134637319.46274,1116411704.4347243,4182324086.643928,2527738795.384298,240144407.29351446
CA5503721063,2022,4063754441.1925497,962871384.9611211,2636451255.5053024,3221597513.085853,179444152.31517783
CA65339B1004,1997,2160767174.5580845,731329995.8920895,1420285444.4846299,2564822866.275716,624411690.9147967
CA65339B1004,1999,2555593551.641967,195457758.82177082,1486017778.57635,2327898850.3550954,119820927.04483138
CA65339B1004,2000,3241799022.334599,265292890.74523142,2231506030.3355985,1014368687.7146612,85277443.83973144
CA65339B1004,2001,1227910611.5024927,311770590.58981955,643203195.9157152,1536102046.5797737,662674726.3545415
CA65339B1004,2002,3045394940.555663,1138876543.1101391,1883499486.7140353,3248752727.429569,357991570.70148855
CA65339B1004,2005,1130770320.9852772,41005905.0824203,631908981.2392689,675888094.0946689,122350088.94821882
CA65339B1004,2009,1122103064.0981808,-172819969.11468115,897089539.5299246,1388492644.5958064,315755562.8673388
CA65339B1004,2010,774752336.2864347,768106832.683433,324532608.7307164,1920186585.7330694,300219056.6488635
CA65339B1004,2012,2070538221.3247116,1092318015.0595782,1190120989.9678526,2603032377.8037424,578335320.2959093
CA65339B1004,2013,5816773429.981622,456977716.3312772,2438753786.201542,4643389230.319911,760231735.2428111
CA65339B1004,2015,5637726511.418942,1289030864.8228116,2761472365.8450646,3127394605.0149813,521375844.2569113
CA65339B1004,2018,1998714495.9432862,410379218.36917907,954137978.7535769,901181419.4460577,408820860.23373055
CA65339B1004,2019,2599790413.3130693,316313461.1585033,1913476480.4418676,2609347395.142598,605207036.6043067
CA65339B1004,2022,2055718082.5396447,1440240444.5357442,1180067107.972527,3912728294.0248785,828500178.9744616
CA8169221089,1997,1539667444.9506097,373777469.98587626,822793102.7732234,2217520973.506324,249031696.05681255
CA8169221089,1999,1752818243.717057,356090007.8342556,1199320781.2281947,1166117610.1308537,542018385.2870045
CA8169221089,2000,4679159869.835801,708174729.227424,3495101003.4055095,3287428772.5580163,890320106.9995989
CA8169221089,2002,1289393475.4793239,-100833940.70129241,989624592.7025958,1103860925.8041933,69849120.16420911
CA8169221089,2003,4843163119.206885,-367973587.610179,2251236738.7292423,4710275278.172347,349518697.0119839
CA8169221089,2004,1537144039.7899654,525045519.77743006,1130095068.6499858,5039399453.110042,1126648488.4926825
CA8169221089,2005,3660316639.460194,253024154.69264767,2509173874.360698,1054050322.1340362,428250113.2354905
CA8169221089,2009,4857196.192363079,-619264.6042872145,2902327.895616406,1424637.5468065757,1498367.3037010578
CA8169221089,2010,152366636.63131413,130116069.14225101,91151705.48926216,591200855.6045578,58661441.46470141
CA8169221089,2011,173910996.0638313,-29365640.529058985,83999755.20052265,119515564.60957304,67060297.761517376
CA8169221089,2012,185193626.1717323,256962280.45472887,100347683.65711394,413544487.0807553,184435008.04454342
CA8169221089,2014,859105363.218341,-111115380.63219383,674152041.3649865,3342956448.5721054,505216385.15846056
CA8169221089,2016,6915166196.698626,1344565370.3109584,3300810658.2466607,3062672463.7886186,1263318143.515337
CA8169221089,2017,3390929966.499579,853381446.9586456,1667691161.1966295,1606407823.8094049,855182011.3607843
CA8169221089,2021,1030574482.0347023,387143804.86862993,805757990.3760996,3363330280.354114,1369450797.9937854
CA8169221089,2022,2097076261.5830452,1243914645.5903862,920073493.8215127,3674403566.370909,1021040083.1946393
CH0003846620,1998,1353595761.941292,395526995.8898188,988746633.818833,1949416795.950106,175469972.92941236
CH0003846620,1999,2333229457.721119,420378077.5674487,1681374284.861526,1854610770.55261,481409409.7698804
CH0003846620,2000,909300172.2063925,355037152.42160887,698717085.7531476,2137351876.2581494,157683296.9048901
CH0003846620,2001,595896496.7062703,429452024.1861598,260282027.23458648,656233541.4057813,135789166.83471298
CH0003846620,2002,925547463.9528235,2480102.212671027,460118401.4716119,150750384.65024403,168288127.7146766
CH0003846620,2003,1069341627.4590282,-58517609.28794989,709103426.398535,592512918.4837803,294818052.2487143
CH0003846620,2004,1585227174.885628,690089393.5601351,1126759412.5389462,843404789.3441373,117124717.5721344
CH0003846620,2005,1312177272.0055506,-130981789.85271448,1002608669.87393,766548985.5024437,278184353.4370719
CH0003846620,2006,3530645629.2910357,757776810.9698775,1431266092.891503,1697880916.3957973,700828712.600984
CH0003846620,2007,641234670.3526899,567236921.2811793,319375309.8834265,1027399190.5157202,672856827.1801287
CH0003846620,2008,783873298.8264073,17106126.233043734,608307514.2949806,593860220.255889,252211812.4724833
CH0003846620,2009,1089755128.5085585,565185361.1238617,805271821.0210587,533708337.3492633,246190925.67361075
CH0003846620,2011,737414985.6370404,359878375.8638682,512459603.19668216,2780457392.4216228,674527150.8660306
CH0003846620,2012,474054241.91872543,121542340.95261703,233925385.3800914,339305985.55846816,89298400.67037246
CH0003846620,2013,2850150944.6620116,-231473549.02987987,1268236677.7534306,1441855078.622519,655462266.5003113
CH0003846620,2014,4352409343.082457,978330497.7197516,3288982555.3036547,3829189432.2760296,898173249.6750442
CH0003846620,2015,3619645706.3098598,182655685.56398606,2833598580.8536363,3202033997.8080473,365572425.57743
CH0003846620,2016,556960735.9067134,-151956481.52735832,293756933.6047631,537389642.2626232,318581857.24430376
CH0003846620,2017,914307707.4984958,647079613.71537,480450612.22990364,1618766221.6095202,418538579.5053031
CH0003846620,2019,2150890032.9134765,231896046.84154877,1417784970.8015127,1701984744.771438,233790618.23109707
CH0003846620,2020,2113135820.2173216,979851886.3353002,1644026658.45197,517174513.022809,503256846.34268063
CH0003846620,2021,468225940.14894533,144190806.20822588,301001048.5435215,2007449316.8528852,470215332.05137455
CH0003846620,2022,459128343.3702151,-41605289.02219302,230514442.796807,912784860.4138963,233373255.77483064
CH0011037469,1997,1147131439.787856,-229218.8646056796,807565644.3252105,452408354.2082104,234558640.79277268
CH0011037469,2000,3086070507.2353454,1319302714.776662,1456203451.171463,3334718293.3490825,199701055.6065499
CH0011037469,2001,740505730.5189464,569975926.6696721,525052905.0502416,2128579832.3971245,131006569.67244498
CH0011037469,2002,448357489.9104685,171649505.35382095,250974194.71914667,525510036.3593149,140258306.76370212
CH0011037469,2003,4866575025.350115,590960080.7885363,2185450105.833389,3088080203.4608903,503793527.58368635
CH0011037469,2004,1602403895.3381703,531705559.9160492,1232214764.305974,3614107747.013466,820458582.8755453
CH0011037469,2005,413389852.53894126,180386989.22945032,324997563.470834,1830631614.7199914,409631779.44025177
CH0011037469,2007,2135849469.743956,511826182.90977067,1516155645.6006339,2494571192.3837447,478764371.8439139
CH0011037469,2008,103521162.66627519,150132.14285285247,52099385.956725664,116464836.20175155,13301186.560396152
