Scenario,Data_Type,Period,Period_Label,Start_Date,End_Date,N_Months,Mean_Return_pct,Sharpe_Ratio,CAPM_Alpha_pct,CAPM_tstat
A: Full Sample,IS,1997-2000,Dot-com Boom,1997-01,2000-12,35,6.705606850751184,0.5685970207772238,7.6112063547176865,0.9261505925436972
A: Full Sample,IS,2001-2003,Dot-com Bust,2001-01,2003-12,36,56.74821361114417,3.358453015347266,59.7897240848492,4.872250410746342
A: Full Sample,IS,2004-2007,Pre-Crisis Expansion,2004-01,2007-12,48,36.42042189968886,2.1977114951725416,38.04798053003667,3.579951588799276
A: Full Sample,IS,2008-2009,Financial Crisis,2008-01,2009-12,24,-3.7419568551835107,-0.3112462099342095,-3.8476457151203376,-0.4662687083125597
A: Full Sample,IS,2010-2014,Post-Crisis Recovery,2010-01,2014-12,60,7.216312249837969,1.0437577003258203,6.1116046129729344,2.2412791964761225
A: Full Sample,IS,2015-2020,Late Expansion,2015-01,2020-12,72,8.113336036178678,1.0025765031534204,7.7431427525275165,2.4221448463530835
B: Time Split (OOS),OOS,2010-2014,Post-Crisis Recovery,2010-01,2014-12,60,0.714080060775194,0.2076086148324898,0.34530442703859054,0.156883876277233
B: Time Split (OOS),OOS,2015-2020,Late Expansion,2015-01,2020-12,72,2.972303232797441,0.547879940268217,4.572036508521822,2.394081481634126
C: Reverse Split (OOS),OOS,1997-2000,Dot-com Boom,1997-01,2000-12,35,-2.2683510693993214,-0.23711258132741578,-2.8067164049435838,-0.45143068753793736
C: Reverse Split (OOS),OOS,2001-2003,Dot-com Bust,2001-01,2003-12,36,-15.4458891784919,-0.8683056531586973,-16.409872887887715,-1.5445309438032448
C: Reverse Split (OOS),OOS,2004-2007,Pre-Crisis Expansion,2004-01,2007-12,48,-5.756002419122839,-0.6684723169024004,-3.7262899137831402,-0.5149839358861071
C: Reverse Split (OOS),OOS,2008-2009,Financial Crisis,2008-01,2009-12,24,-2.8589970805797753,-0.19762160483483232,-2.0596869765347474,-0.15596990347772954
