Scenario,Data_Type,TC_Level,Turnover_Level,TC_bps,Turnover_pct,Gross_Return_pct,Cost_Drag_pct,Net_Return_pct,Volatility_pct,Net_Sharpe
A: Full Sample,IS,Low,Low,50,50.0,16.59232912670895,3.0,13.59232912670895,13.032981291982324,1.0429178729099173
A: Full Sample,IS,Low,Medium,50,100.0,16.59232912670895,6.0,10.59232912670895,13.032981291982324,0.8127326272788542
A: Full Sample,IS,Low,High,50,150.0,16.59232912670895,9.0,7.59232912670895,13.032981291982324,0.5825473816477913
A: Full Sample,IS,Medium,Low,75,50.0,16.59232912670895,4.5,12.09232912670895,13.032981291982324,0.9278252500943858
A: Full Sample,IS,Medium,Medium,75,100.0,16.59232912670895,9.0,7.59232912670895,13.032981291982324,0.5825473816477913
A: Full Sample,IS,Medium,High,75,150.0,16.59232912670895,13.5,3.0923291267089503,13.032981291982324,0.23726951320119674
A: Full Sample,IS,High,Low,100,50.0,16.59232912670895,6.0,10.59232912670895,13.032981291982324,0.8127326272788542
A: Full Sample,IS,High,Medium,100,100.0,16.59232912670895,12.0,4.59232912670895,13.032981291982324,0.3523621360167282
A: Full Sample,IS,High,High,100,150.0,16.59232912670895,18.0,-1.4076708732910497,13.032981291982324,-0.10800835524539774
B: Time Split (OOS),OOS,Low,Low,50,50.0,1.868747542246367,3.0,-1.131252457753633,4.72978440257354,-0.23917632633278232
B: Time Split (OOS),OOS,Low,Medium,50,100.0,1.868747542246367,6.0,-4.131252457753633,4.72978440257354,-0.8734547087401621
B: Time Split (OOS),OOS,Low,High,50,150.0,1.868747542246367,9.0,-7.131252457753633,4.72978440257354,-1.5077330911475417
B: Time Split (OOS),OOS,Medium,Low,75,50.0,1.868747542246367,4.5,-2.631252457753633,4.72978440257354,-0.5563155175364722
B: Time Split (OOS),OOS,Medium,Medium,75,100.0,1.868747542246367,9.0,-7.131252457753633,4.72978440257354,-1.5077330911475417
B: Time Split (OOS),OOS,Medium,High,75,150.0,1.868747542246367,13.5,-11.631252457753632,4.72978440257354,-2.459150664758611
B: Time Split (OOS),OOS,High,Low,100,50.0,1.868747542246367,6.0,-4.131252457753633,4.72978440257354,-0.8734547087401621
B: Time Split (OOS),OOS,High,Medium,100,100.0,1.868747542246367,12.0,-10.131252457753632,4.72978440257354,-2.142011473554921
B: Time Split (OOS),OOS,High,High,100,150.0,1.868747542246367,18.0,-16.131252457753632,4.72978440257354,-3.410568238369681
C: Reverse Split (OOS),OOS,Low,Low,50,50.0,-6.855582824520949,3.0,-9.85558282452095,12.62832034124955,-0.7804349714132891
C: Reverse Split (OOS),OOS,Low,Medium,50,100.0,-6.855582824520949,6.0,-12.85558282452095,12.62832034124955,-1.0179962558068045
C: Reverse Split (OOS),OOS,Low,High,50,150.0,-6.855582824520949,9.0,-15.85558282452095,12.62832034124955,-1.2555575402003198
C: Reverse Split (OOS),OOS,Medium,Low,75,50.0,-6.855582824520949,4.5,-11.35558282452095,12.62832034124955,-0.8992156136100468
C: Reverse Split (OOS),OOS,Medium,Medium,75,100.0,-6.855582824520949,9.0,-15.85558282452095,12.62832034124955,-1.2555575402003198
C: Reverse Split (OOS),OOS,Medium,High,75,150.0,-6.855582824520949,13.5,-20.35558282452095,12.62832034124955,-1.6118994667905933
C: Reverse Split (OOS),OOS,High,Low,100,50.0,-6.855582824520949,6.0,-12.85558282452095,12.62832034124955,-1.0179962558068045
C: Reverse Split (OOS),OOS,High,Medium,100,100.0,-6.855582824520949,12.0,-18.85558282452095,12.62832034124955,-1.4931188245938354
C: Reverse Split (OOS),OOS,High,High,100,150.0,-6.855582824520949,18.0,-24.85558282452095,12.62832034124955,-1.9682413933808662
