isin,ticker,name,exchange,date,year,month,close,high,low,bid,ask,turnover_sek,volume,book_value,market_cap,ret_monthly
SE0000100026,ACTI-A.SE,Active Biotech AB ser. A,SSE,1997-01-31,1997,1,54.7902,57.004,50.3628,54.2368,55.3437,31642275.2314,331275.3964,546819.0,551177606.0,
SE0000100026,ACTI-A.SE,Active Biotech AB ser. A,SSE,1997-02-28,1997,2,71.9468,74.714,54.2368,69.1796,71.9468,26185464.4046,223684.0716,546819.0,719641184.0,0.31313264050870404
SE0000100026,ACTI-A.SE,Active Biotech AB ser. A,SSE,1997-03-31,1997,3,92.9774,99.6186,69.1796,91.3171,93.5308,102382057.9696,672747.0786,546819.0,940680624.0,0.29230764954104993
SE0000100026,ACTI-A.SE,Active Biotech AB ser. A,SSE,1997-04-30,1997,4,85.2293,91.3171,78.0346,84.1224,85.7827,22676482.0783,145545.0702,546819.0,852791176.0,-0.083333154078303
SE0000100026,ACTI-A.SE,Active Biotech AB ser. A,SSE,1997-05-31,1997,5,82.7292,92.4239,76.82,77.4109,83.3201,22691778.3763,150868.9906,546819.0,760822915.0,-0.029333808913131865
SE0000100026,ACTI-A.SE,Active Biotech AB ser. A,SSE,1997-06-30,1997,6,74.4563,82.7292,73.2744,74.4563,75.0472,7725203.6326,57790.9538,546819.0,728377496.0,-0.09999975824739038
SE0000100026,ACTI-A.SE,Active Biotech AB ser. A,SSE,1997-07-31,1997,7,78.0018,82.7292,73.8654,76.82,78.0018,8503646.934,63290.8249,546819.0,736034973.0,0.04761853597345023
SE0000100026,ACTI-A.SE,Active Biotech AB ser. A,SSE,1997-08-31,1997,8,80.9564,93.9567,76.82,83.3201,85.0929,22865925.8452,156162.4953,546819.0,800031145.0,0.03787861305764739
SE0000100026,ACTI-A.SE,Active Biotech AB ser. A,SSE,1997-09-30,1997,9,89.8203,92.184,82.7292,89.8203,91.5931,17071600.0537,114312.7065,546819.0,868782154.0,0.10948979944760384
SE0000100026,ACTI-A.SE,Active Biotech AB ser. A,SSE,1997-10-31,1997,10,,95.7295,67.9561,75.6381,79.7746,26126926.3709,173432.0908,546819.0,735198490.0,
SE0000100026,ACTI-A.SE,Active Biotech AB ser. A,SSE,1997-11-30,1997,11,87.4566,87.4566,75.6381,83.3201,87.4566,11700341.2739,86644.124,546819.0,807556308.0,
SE0000100026,ACTI-A.SE,Active Biotech AB ser. A,SSE,1997-12-31,1997,12,109.9117,115.23,82.7292,107.548,109.9117,35442861.9673,211296.5883,546819.0,1026010756.0,0.2567570657903464
SE0000100026,ACTI-A.SE,Active Biotech AB ser. A,SSE,1998-01-31,1998,1,112.2754,113.4572,96.9114,106.3661,112.2754,20400291.3013,111953.6849,1363756.0,1044131718.0,0.021505444825255182
SE0000100026,ACTI-A.SE,Active Biotech AB ser. A,SSE,1998-02-28,1998,2,105.7752,113.4572,104.5934,105.7752,106.3661,11047125.808,59735.3698,1363756.0,1007687635.0,-0.057895139986141264
SE0000100026,ACTI-A.SE,Active Biotech AB ser. A,SSE,1998-03-31,1998,3,134.1395,134.1395,101.3433,132.9577,134.1395,40516281.5709,200291.7692,1363756.0,1278349458.0,0.2681564298625765
