isin,company_name,org_perm_id,tax_id,hq_country,orgnr,method
SE0000100026,Active Biotech AB publ,4295889837.0,SE556223922701,SE,5562239227.0,lseg_taxid
SE0000100042,,,,,556223-9227,manual
SE0000100182,Linde Sverige AB,4295890036.0,,SE,556022-1919,manual
SE0000100208,Linde Sverige AB,4295890036.0,,SE,556022-1919,manual
SE0000100364,Allgon AB,4295889894.0,,SE,556387-9955,manual
SE0000100505,Talisman Energy Sweden AB,4295890281.0,,SE,556610-8055,manual
SE0000100844,Kappahl Molndal 2 AB,4295889802.0,,SE,556042-0020,manual
SE0000100919,Hitachi Energy Sweden AB,4295890052.0,SE556029702901,SE,5560297029.0,lseg_taxid
SE0000100927,Hitachi Energy Sweden AB,4295890052.0,SE556029702901,SE,5560297029.0,lseg_taxid
SE0000101008,Astrazeneca AB,4295889975.0,SE556011748201,SE,5560117482.0,lseg_taxid
SE0000101016,Astrazeneca AB,4295889975.0,SE556011748201,SE,5560117482.0,lseg_taxid
SE0000101032,,,,,556014-2720,manual
SE0000101057,Avesta Sheffield AB,5000828099.0,,SE,,none
SE0000101297,,,,,556016-5279,manual
SE0000101362,Bergman & Beving AB,4295890277.0,SE556034859001,SE,5560348590.0,lseg_taxid
SE0000101552,Schenker North & East AB,4295890309.0,SE556016431001,SE,5560164310.0,lseg_taxid
SE0000101578,Schenker North & East AB,4295890309.0,SE556016431001,SE,5560164310.0,lseg_taxid
SE0000101669,ElektronikGruppen BK AB,4295889876.0,SE556072254701,SE,5560722547.0,lseg_taxid
SE0000101891,Boras Wafveri AB,4295889771.0,,SE,556000-0512,manual
SE0000101925,Bpa AB (Publ),4295890293.0,,SE,556000-1554,manual
SE0000101941,Bpa AB (Publ),4295890293.0,,SE,556000-1554,manual
SE0000102006,BRIO Leksaker AB,4295889931.0,,SE,556033-5273,manual
SE0000102295,Bilia AB,4295889806.0,SE556112569001,SE,5561125690.0,lseg_taxid
SE0000102378,,,,,556010-4988,manual
SE0000102642,Fazer Services AB,4295890042.0,,SE,556308-8144,manual
SE0000102790,Kalmar Finland Oy,4296012977.0,09868201,FI,556206-2116,manual
SE0000102824,Concordia Maritime AB,4295889826.0,SE556068581901,SE,5560685819.0,lseg_taxid
SE0000103038,,,,,556013-0683,manual
SE0000103046,AB Custos,4295890276.0,,SE,556013-0683,manual
SE0000103152,Tidnings Marieberg AB,4295889778.0,SE556002879601,SE,5560028796.0,lseg_taxid
SE0000103699,,,,,5560397811,manual
SE0000103780,Eldon AB,4295889789.0,,ES,556006-4021,manual
SE0000103806,,,,,556009-4178,manual
SE0000103814,,,,,556009-4178,manual
SE0000104051,Esselte AB,4295890002.0,SE556011455401,SE,5560114554.0,lseg_taxid
SE0000104077,Esselte AB,4295890002.0,SE556011455401,SE,5560114554.0,lseg_taxid
SE0000104150,HeidelbergCement Sweden AB,5000012120.0,SE556000605701,SE,5560006057.0,lseg_taxid
SE0000104176,HeidelbergCement Sweden AB,5000012120.0,SE556000605701,SE,5560006057.0,lseg_taxid
SE0000104416,Kinnevik Industriforvaltnings AB,4295890211.0,,,556018-5675,manual
SE0000104564,Realia AB (Fusion),4295890077.0,,SE,556285-1408,manual
SE0000104580,Humlegarden Fastigheter AB,5000441273.0,SE556682120201,SE,5566821202.0,lseg_taxid
SE0000104606,Humlegarden Fastigheter AB,5000441273.0,SE556682120201,SE,5566821202.0,lseg_taxid
SE0000104788,Fenix Outdoor AB,4295889900.0,SE556110631001,SE,5561106310.0,lseg_taxid
SE0000104846,Folkebolagen AB,4295889884.0,,SE,556012-3810,manual
SE0000105082,Fabege Storstockholm AB,4295890135.0,SE556130903901,SE,5561309039.0,lseg_taxid
SE0000105116,Acando AB,4295890023.0,SE556272509201,SE,5562725092.0,lseg_taxid
SE0000105199,Haldex AB,4295889821.0,SE556010115501,SE,5560101155.0,lseg_taxid
SE0000105264,Geveko AB,4295889858.0,SE556024684401,SE,5560246844.0,lseg_taxid
SE0000105371,Rederi Gotland AB,4295889781.0,SE556000802001,SE,5560008020.0,lseg_taxid
SE0000105397,Rederi Gotland AB,4295889781.0,SE556000802001,SE,5560008020.0,lseg_taxid
SE0000105496,Graningeverkens AB,4296758057.0,,SE,556000-8251,manual
SE0000106205,Peab AB,4295889909.0,SE556061433001,SE,5560614330.0,lseg_taxid
SE0000106270,H & M Hennes & Mauritz AB,4295890262.0,SE556042722001,SE,5560427220.0,lseg_taxid
SE0000106304,Investment AB Latour,4295889805.0,SE556026323701,SE,5560263237.0,lseg_taxid
SE0000106320,,,,,556026-3237,manual
SE0000106759,Iptor Supply Chain Systems AB,4295889938.0,SE556198728901,SE,5561987289.0,lseg_taxid
SE0000107203,Industrivarden AB,4295890329.0,SE556043420001,SE,5560434200.0,lseg_taxid
SE0000107401,,,,,556056-2091,manual
SE0000107419,,,,,5560138298,manual
SE0000107476,Jacobson & Widmark AB,4295889777.0,,SE,556041-1105,manual
SE0000107724,KABE Group AB,4298446452.0,SE556097223301,SE,5560972233.0,lseg_taxid
SE0000107906,Klovern Forvaltnings AB,5000828426.0,,SE,556733-4379,manual
SE0000108169,Metso Outotec Sweden AB,4295889855.0,SE556216565301,SE,5562165653.0,lseg_taxid
SE0000108201,SKF AB,4295890078.0,SE556007349501,SE,5560073495.0,lseg_taxid
SE0000108227,SKF AB,4295890078.0,SE556007349501,SE,5560073495.0,lseg_taxid
SE0000108300,DistIT AB,4295890169.0,SE556116438401,SE,5561164384.0,lseg_taxid
SE0000108581,Lindab AB,4295889958.0,SE556068202201,SE,5560682022.0,lseg_taxid
SE0000108649,Telefonaktiebolaget LM Ericsson,4295890008.0,SE556016068001,SE,5560160680.0,lseg_taxid
SE0000108656,Telefonaktiebolaget LM Ericsson,4295890008.0,SE556016068001,SE,5560160680.0,lseg_taxid
SE0000108847,L E Lundbergforetagen AB (publ),4295890312.0,SE556056881701,SE,5560568817.0,lseg_taxid
SE0000108904,Emil Lundgren AB,4295889879.0,,SE,556004-9618,manual
SE0000109084,Martinsson Gruppen Ab,4295889901.0,,SE,556316-8269,manual
SE0000109142,,,,,556045-2103,manual
SE0000109290,,,,,556003-6222,manual
SE0000109514,Maldata AB,4295889913.0,,SE,556078-9051,manual
SE0000109811,,,,,556080-4592,manual
SE0000109985,Kappahl Molndal 2 AB,4295889802.0,,SE,556013-2250,manual
SE0000110116,,,,,556184-6691,manual
SE0000110165,,,,,,none
SE0000110322,Hoist Finance AB (publ),4295889832.0,SE556012848901,SE,5560128489.0,lseg_taxid
SE0000110710,Perstorp AB,4295890331.0,SE556024651301,SE,5560246513.0,lseg_taxid
SE0000110736,Perstorp AB,4295890331.0,SE556024651301,SE,5560246513.0,lseg_taxid
SE0000110819,Spectra-Physics AB,4295889829.0,SE556015888201,SE,5560158882.0,lseg_taxid
SE0000110835,Evidentia Fastigheter AB (Publ),4295889817.0,,SE,556037-9248,manual
SE0000110959,Platzer Fastigheter AB,5000303696.0,SE556102569201,SE,5561025692.0,lseg_taxid
SE0000111155,Stockwik Forvaltning AB,4295889941.0,SE556294784501,SE,5562947845.0,lseg_taxid
SE0000111189,,,,,556363-9107,manual
SE0000111940,Ratos AB,4295889824.0,SE556008358501,SE,5560083585.0,lseg_taxid
SE0000112252,Rottneros AB,4295890266.0,SE556013587201,SE,5560135872.0,lseg_taxid
SE0000112385,,,,,556036-0793,manual
SE0000112567,Sandblom & Stohne Ab Publ,4295889839.0,,SE,556043-0115,manual
SE0000112609,,,,,556000-3468,manual
SE0000112625,Sandvik AB,4295890065.0,,SE,556000-3468,manual
SE0000112682,,,,,556067-5807,manual
SE0000112724,Svenska Cellulosa Aktiebolaget SCA,4295890025.0,SE556012629301,SE,5560126293.0,lseg_taxid
SE0000112906,,,,,556040-8113,manual
SE0000113094,Forsakringsaktiebolaget Skandia (publ),4295890362.0,,SE,502017-3083,manual
SE0000113201,,,,,556012-1328,manual
SE0000113250,Skanska AB,4295889991.0,SE556000461501,SE,5560004615.0,lseg_taxid
SE0000113516,Spendrups Bryggeriaktiebolag,4295889874.0,,SE,556015-9973,manual
SE0000113730,Stora Kopparbergs Bergslags AB,4295890030.0,,SE,556012-7994,manual
SE0000113797,PostNord Stralfors Group AB,4295889908.0,,SE,556025-3941,manual
SE0000114431,EON Sverige AB,4295890320.0,SE556006842001,SE,5560068420.0,lseg_taxid
SE0000114456,EON Sverige AB,4295890320.0,SE556006842001,SE,5560068420.0,lseg_taxid
SE0000114662,Tivox AB,4295889929.0,,SE,556048-9253,manual
SE0000114837,Trelleborg AB,4295890333.0,SE556006342101,SE,5560063421.0,lseg_taxid
SE0000115008,,,,,556072-1523,manual
SE0000115107,VBG Group AB (publ),4295889904.0,SE556069075101,SE,5560690751.0,lseg_taxid
SE0000115354,,,,,556367-0230,manual
SE0000115404,CGI IT konsulter AB,4295889792.0,,SE,556330-2602,manual
SE0000115420,Volvo AB,4295890024.0,SE556012579001,SE,5560125790.0,lseg_taxid
SE0000115446,Volvo AB,4295890024.0,SE556012579001,SE,5560125790.0,lseg_taxid
SE0000115503,Zeteco AB,4298446429.0,,SE,556199-8144,manual
SE0000115578,,,,,556120-6474,manual
SE0000115610,,,,,556063-9147,manual
SE0000116329,Acrimo AB,4295890192.0,,SE,556073-9299,manual
SE0000116634,Icb Shipping AB,4295889886.0,,SE,556071-1270,manual
SE0000116642,Icb Shipping AB,4295889886.0,,SE,556071-1270,manual
SE0000116949,Rosenborgs Securities AB,5043320125.0,SE556207800501,SE,5562078005.0,lseg_taxid
SE0000117822,Kappahl Molndal 2 AB,4295889802.0,,SE,556042-0020,manual
SE0000117970,NCC AB,4295890291.0,SE556034517401,SE,5560345174.0,lseg_taxid
SE0000118838,Seco Tools AB,4295889842.0,SE556071106001,SE,5560711060.0,lseg_taxid
SE0000118945,Stora Kopparbergs Bergslags AB,4295890030.0,,SE,556012-7994,manual
SE0000118952,NCC AB,4295890291.0,SE556034517401,SE,5560345174.0,lseg_taxid
SE0000119224,,,,,556292-1089,manual
SE0000119299,Elanders AB,4295889889.0,SE556008162101,SE,5560081621.0,lseg_taxid
SE0000120222,Kinnevik Industriforvaltnings AB,4295890211.0,,,556018-5675,manual
SE0000120669,SSAB AB,4295889873.0,SE556016342901,SE,5560163429.0,lseg_taxid
SE0000120727,Kjessler & Mannerstrale AB (Publ),4295889971.0,,SE,556053-1080,manual
SE0000120776,Elos Medtech AB,4295889902.0,SE556021965001,SE,5560219650.0,lseg_taxid
SE0000120784,Skandinaviska Enskilda Banken AB,8589934200.0,SE502032908101,SE,5020329081.0,lseg_taxid
SE0000120818,Trygg-Hansa FAB (publ),4295890428.0,,SE,502007-7862,manual
SE0000120859,Scandiaconsult AB,4295889834.0,,SE,556063-1523,manual
SE0000121816,,,,,556030-1319,manual
SE0000122467,,,,,556014-2720,manual
SE0000122657,HAKI Safety AB,4295889851.0,SE556323253601,SE,5563232536.0,lseg_taxid
SE0000122673,HAKI Safety AB,4295889851.0,SE556323253601,SE,5563232536.0,lseg_taxid
SE0000123085,Ortivus AB,4295890043.0,SE556259120501,SE,5562591205.0,lseg_taxid
SE0000123267,Bulten Fasteners AB,4295889862.0,SE556010886101,SE,5560108861.0,lseg_taxid
SE0000123572,,,,,556209-7146,manual
SE0000123671,Rejlers AB (publ),4298015256.0,SE556349842601,SE,5563498426.0,lseg_taxid
SE0000135287,,,,,556043-0933,manual
SE0000135303,Fastighetsaktiebolaget Celtica,4295889800.0,SE556350972701,SE,5563509727.0,lseg_taxid
SE0000135485,RaySearch Laboratories AB (publ),4295889885.0,SE556322615701,SE,5563226157.0,lseg_taxid
SE0000135501,Solitair Kapital AB,4295889861.0,,SE,556176-8787,manual
SE0000141160,Asg AB,4295890319.0,,SE,556001-3301,manual
SE0000143430,Forcenergy AB,4295889907.0,SE556217817701,SE,5562178177.0,lseg_taxid
SE0000143521,,,,,556047-9742,manual
SE0000147480,Alcatel Lucent SA,4295867927.0,FR31542019096,FR,,none
SE0000147555,Compagnie de Saint Gobain SA,4295867362.0,FR35542039532,FR,,none
SE0000148884,Skandinaviska Enskilda Banken AB,8589934200.0,SE502032908101,SE,5020329081.0,lseg_taxid
SE0000152084,,,,,502007-7862,manual
SE0000162786,Nefab AB,4298447262.0,SE556226814301,SE,5562268143.0,lseg_taxid
SE0000163594,Securitas AB,4295890335.0,SE556302724101,SE,5563027241.0,lseg_taxid
SE0000163628,Elekta AB (publ),5000030355.0,SE556170401501,SE,5561704015.0,lseg_taxid
SE0000164477,,,,,556013-0683,manual
SE0000164485,Gambro AB,4295889755.0,,SE,5560280942.0,name_matching
SE0000164600,,,,,556177-4177,manual
SE0000164626,Investment Kinnevik (A) Aktie,,,,556177-4177,manual
SE0000166506,SinterCast AB,4295890000.0,SE556233649401,SE,5562336494.0,lseg_taxid
SE0000166514,SinterCast AB,4295890000.0,SE556233649401,SE,5562336494.0,lseg_taxid
SE0000166555,Trustor AB,4295889854.0,,SE,556034-7024,manual
SE0000168304,Luxonen SA,4295883035.0,,LU,,none
SE0000169070,Bayer AG,4295869217.0,123659859,DE,,none
