isin,company_name,hq_country,last_price,avg_volume,last_date,market_cap_proxy
SE0000107419,,,138.5813,5229085.781159921,2020-12-30,724653505.3646573
SE0000242455,Swedbank AB,SE,107.9983,6224802.943823412,2020-12-30,672268135.767924
SE0011166610,,,97.1795,6795948.948107143,2020-12-30,660426920.8025781
SE0000667891,Sandvik AB,SE,176.8781,3332792.0351198413,2020-12-30,589497922.8671308
SE0012455673,,,238.0181,2178670.6907642856,2020-12-30,518563058.3414028
SE0000103699,,,102.7453,4959576.3049654765,2020-12-30,509573155.3265694
SE0007100599,Svenska Handelsbanken AB,SE,58.5427,7126197.407107143,2020-12-30,417186836.9450514
SE0000310336,,,61.2265,6337281.006955556,2020-12-30,388009535.57236433
SE0007439112,,,134.0,2856284.1666666665,2020-12-30,382742078.3333333
SE0014684528,,,207.75,1498296.4444444445,2020-12-30,311271086.3333334
SE0013256682,,,169.75,1826970.1851851852,2020-08-24,310128188.9351852
SE0011166628,,,84.2548,3133401.83571627,2020-12-30,264004144.9879072
SE0008321293,,,65.55,3790846.0576559524,2020-12-30,248489959.07934767
SE0001174970,Millicom International Cellular SA,LU,258.4173,960357.415497619,2020-12-30,248172970.34787285
SE0011166933,,,138.2878,1761534.6737277778,2020-12-30,243598754.6535322
SE0000382335,,,687.7541,329682.9156563492,2020-12-30,226740776.94260836
SE0000455057,,,71.4833,3004009.0,2020-12-30,214736476.5497
SE0013121589,,,98.3,2080390.992063492,2020-12-30,204502434.51984125
SE0007871645,Kindred Group PLC,MT,71.8159,2015072.0884599206,2020-12-30,144714215.5976288
SE0007704788,,,91.1947,1505937.5893524194,2020-12-22,137333526.67971706
SE0000112385,,,56.9974,2157644.4483194444,2020-12-30,122980123.6786427
SE0008374250,,,6.333,16493448.150598016,2020-12-30,104453007.13773723
SE0006370730,,,153.1293,609876.6089738095,2020-12-30,93389978.21853317
SE0011166941,,,127.2322,691314.3945670635,2020-12-30,87957451.31243555
SE0012455525,,,33.1,2526379.477532941,2020-05-05,83623160.70634034
SE0011115963,Arriver Holdco Inc,SE,178.2,468284.30555555556,2020-12-30,83448263.25
SE0000107401,,,138.3924,584004.187609127,2020-12-30,80821741.13327736
SE0002683557,,,192.9028,403452.88819145295,2020-06-22,77827191.80021821
SE0012454072,Avanza Bank Holding AB,SE,205.0614,376080.7465809524,2020-12-30,77119644.4069353
SE0012454379,,,50.3653,1400074.404704348,2020-06-17,70515167.41525589
SE0000375115,,,231.6567,293012.73987460317,2020-12-30,67878364.37730898
SE0011116508,,,111.2563,593381.0702888889,2020-12-30,66017382.370381705
SE0000489098,,,148.502,444431.0468815668,2020-11-09,65998899.32400644
SE0011205194,,,80.8395,770676.0015583333,2020-12-30,62301062.62797488
SE0005568136,,,108.8025,501294.1534124294,2020-09-14,54542057.12665585
SE0014186532,,,59.8505,765513.7190481751,2020-12-30,45816378.8418928
SE0000109811,,,74.7724,537249.8671587302,2020-12-30,40171461.96713944
SE0001966656,,,45.8716,872220.4461873017,2020-12-30,40010147.419325426
SE0000412371,,,98.4473,397263.59202420636,2020-12-30,39109528.02308465
SE0007074844,,,62.2706,525401.777988492,2020-12-30,32717083.956410192
SE0000191827,,,155.459,189744.59028452382,2020-12-30,29497504.26104179
SE0009664253,,,47.7102,594592.8961424603,2020-12-30,28368145.99353601
SE0012455202,,,36.8076,565384.4968810526,2020-05-19,20810446.407399032
SE0014609061,,,142.5337,138842.62078360654,2020-12-30,19789752.457984343
SE0007048020,Collector AB,SE,24.25,753199.8798194445,2020-12-30,18265097.08562153
SE0012853661,,,111.0539,163537.76645706806,2020-10-02,18161506.76234659
SE0010663310,,,45.5434,310228.1967047619,2020-12-30,14128846.853803651
SE0000470395,,,95.4513,146870.4110484127,2020-12-30,14018971.666105356
SE0009947534,,,85.75,162083.39682539683,2020-12-30,13898651.277777778
SE0004390516,,,87.8593,139363.83253531746,2020-12-30,12244408.771870218
SE0014428835,VNV Global AB (publ),SE,116.1074,104206.26545877862,2020-12-30,12099118.546128593
SE0007100607,Svenska Handelsbanken AB,SE,69.166,159843.84739166667,2020-12-30,11055759.548692016
SE0000426546,,,24.1665,455651.7639980159,2020-12-30,11011508.35465805
SE0014399424,,,38.1249,233723.08855732484,2020-12-30,8910669.378939154
SE0003652163,,,30.1422,280618.6521975904,2020-12-23,8458463.538270209
SE0002017657,,,11.5059,709722.6319488095,2020-12-30,8165997.630939808
SE0000567729,,,133.92,58504.261755952386,2020-12-30,7834890.734357143
SE0005677135,,,184.2506,41892.162232936505,2020-12-30,7718656.0267158905
SE0008008262,,,122.4449,59488.78393730159,2020-12-30,7284098.2003245
SE0007603493,,,56.7166,120044.21956891193,2020-10-06,6808499.98360215
SE0012231074,VNV Global AB (publ),SE,68.5161,88639.02133388429,2020-06-26,6073200.049614549
SE0002367797,,,15.1879,386783.05353174603,2020-12-30,5874422.338734806
SE0014684510,,,212.0,26799.022222222222,2020-12-30,5681392.711111111
SE0000472268,,,69.2026,79030.81386825397,2020-12-30,5469137.799799233
SE0013256674,,,170.75,30092.04938271605,2020-08-24,5138217.432098766
SE0002133975,,,60.8949,74284.82361190477,2020-12-30,4523566.9053645795
SE0000789711,,,44.5,100066.36762697095,2020-12-11,4452953.359400207
SE0007789409,,,8.4798,481925.5753730159,2020-12-30,4086632.4940480995
SE0005003654,,,136.3187,29185.399987698413,2020-12-30,3978515.7853030637
SE0009994429,,,18.2733,217012.60774484125,2020-12-30,3965536.4851038074
SE0000412991,,,84.1015,46034.109157539686,2020-12-30,3871537.631312824
SE0011527845,,,170.0,22704.43650793651,2020-12-30,3859754.2063492066
SE0013382355,,,44.4333,86428.45238095238,2020-12-30,3840301.353178572
SE0008321608,Investment Oresund AB,SE,99.9707,35718.4914218254,2020-12-30,3570802.5903838803
SE0007982814,,,81.3778,39517.03361919192,2020-05-26,3215809.258455876
SE0002579912,GHP Specialty Care AB,SE,25.5944,123482.2823123016,2020-12-30,3160454.926413972
SE0001915190,,,14.7017,160556.83494523808,2020-12-30,2360458.420314407
SE0007192018,VEF Ltd,BM,4.04,582554.7142857143,2020-12-30,2353521.0457142857
SE0000772956,,,41.5214,55437.12556269841,2020-12-30,2301827.065339026
SE0007184189,Genova Property Group AB,SE,73.9,28225.823076923076,2020-12-30,2085888.3253846155
SE0012676336,,,54.1904,35440.43210198412,2020-12-30,1920531.1917793602
SE0005095601,,,12.2022,155369.23246944445,2020-12-30,1895846.4484386551
SE0007331608,,,85.715,17271.225582539682,2020-12-30,1480403.100807389
SE0011167956,,,24.5822,57269.15969087302,2020-12-30,1407801.9373529789
SE0009189657,,,86.5,15833.6,2020-01-09,1369606.4000000001
SE0001823303,,,6.8227,200240.9229373016,2020-12-30,1366183.7449243276
SE0012455350,,,14.2929,95354.67963690477,2020-12-30,1362894.900582316
SE0004777241,TSR Noisiver 7 AB,SE,44.8,29564.375,2020-05-08,1324484.0
SE0002158568,,,28.4592,46402.93752738095,2020-12-30,1320590.47967924
SE0010413567,Arion banki hf,IS,4.9323,256399.53619444443,2020-12-30,1264639.4323718583
SE0000767188,,,4.2336,276258.56030674605,2020-12-30,1169568.24091464
SE0007526132,Genova Property Group AB,SE,121.9844,9291.54618531746,2020-12-30,1133423.686488239
SE0008375117,,,10.908,88359.57880634921,2020-12-30,963826.2856196571
SE0013121340,,,39.7963,22566.76820079365,2020-12-30,898073.8773492443
SE0009921471,,,33.4047,25560.001045634923,2020-12-30,853824.1669291209
SE0012674232,,,61.2563,13499.965865873017,2020-12-30,826957.9590696773
