isin,name,ticker,orgnr,notes
SE0000634040,Pharmacia Corp. SDB,PHA.SE,,
SE0000427361,Nordea Bank AB,NDA-SEK.SE,,
SE0000147480,Alcatel Alsthom Comp. Gen,GALCA-SDB.SE,,
SE0006886750,"Atlas Copco AB, ser. A",ATCO-A.SE,,
SE0000169070,Bayer AG,BAYE-SDB.SE,,
SE0000289928,"Pharmacia & Upjohn, Inc. SDB",PHU-SDB.SE,,
SE0000588147,Nordbanken Holding AB,NBH.SE,,
SE0000227258,Akzo Nobel N.V. SDB,AKZO-SDB.SE,,
SE0000193120,SHB AB ser. A,SHB-A.SE,,
SE0006886768,Atlas Copco AB ser. B,ATCO-B.SE,,
SE0000147555,"Saint-Gobain, Compagnie de SDB",SAGO-SDB.SE,,
SE0000101032,"Atlas Copco AB, ser. A",ATCO-A.SE,,
SE0000113094,Skandia Försäkringsab,SDIA.SE,,
SE0011088665,Boliden AB,BOL.SE,,
SE0000255648,Assa Abloy AB ser. B,ASSA-B.SE,,
SE0000103814,"Electrolux, AB ser. B",ELUX-B.SE,,
SE0008373906,"Kinnevik InvestmentAB, ser. B",KINV-B.SE,,
SE0000112609,Sandvik AB ser. A,SAND-A.SE,,
SE0000314312,Tele 2 AB ser. B,NCOM-B.SE,,
SE0000308272,Scania AB ser. A,SCV-A.SE,,
SE0000308280,Scania AB ser. B,SCV-B.SE,,
SE0000122467,Atlas Copco AB ser. B,ATCO-B.SE,,
SE0000237315,Europolitan Vodafone AB,GEUR.SE,,
SE0000869646,Boliden AB,BOL.SE,,
SE0000113730,"Stora Kopparb. Bergsl.AB, A,fr",STOR-A.SE,,
SE0007871645,Unibet Group Plc,UNIB-SDB.SE,,
SE0000230963,AssiDomän AB,ASDO.SE,,
SE0000164626,Invik & Co AB ser. B,INVK-B.SE,,
SE0000164477,Incentive AB ser. A,INCE-A.SE,,
SE0002687749,"Swedbank AB, preferensaktie",SWED-PREF.SE,,
SE0001134529,South Atlantic Ventures SDB,SAVS.SE,,
SE0008212971,"NetEnt AB, ser. B",NET-B.SE,,
SE0002026179,Capio AB (Old),CAP.SE,,
SE0007074828,Net Entertainment NE AB ser. B,NET-B.SE,,
SE0000100182,AGA AB ser. A,AGA-A.SE,,
SE0001174889,Oriflame Cosmetics S.A. SDB,ORI.SE,,
SE0006826046,Evolution Gaming Group AB,EVO.SE,,
SE0000109290,Mo och Domsjö AB ser. B,MODO-B.SE,,
SE0000478059,"Société Europ de Com,  SDBA",SEC-A.SE,,
SE0000106320,"Latour, Investmentab. ser. B",LATO-B.SE,,
SE0000112625,Sandvik AB ser. B,SAND-B.SE,,
SE0000110165,OM Gruppen AB,OMG.SE,,
SE0001493776,AarhusKarlshamn AB,AAK.SE,,
SE0000950636,Wihlborgs Fastigheter AB,WIHL.SE,,
SE0000100208,AGA AB ser. B,AGA-B.SE,,
SE0009773237,"NetEnt AB, ser. B",NET-B.SE,,
SE0011309228,Fast Partner AB,FPAR.SE,,
SE0010413567,"Arion Banki hf, SDB",ARION-SDB.SE,,
SE0000805574,SAS AB,SAS.SE,,
SE0000115404,WM-data AB ser. B,WM-B.SE,,
SE0000610354,Graninge,GRA.SE,,
SE0000635401,Axfood,HEMK.SE,,
SE0009241706,"THQ Nordic AB, Ser B",THQN-B.SE,,
SE0000479495,"Gullspång Kraft AB, ser. B, fr",GULL-B.SE,,
SE0011452234,SECTRA AB ser B,SECT-B.SE,,
SE0008373898,"Kinnevik InvestmentAB, ser. A",KINV-A.SE,,
SE0001956301,Gambro AB ser. B,GAMB-B.SE,,
SE0005731171,Hemfosa Fastigheter AB,HEMF.SE,,
SE0000104416,"Kinnevik, Industriförvaltnings A",GKINV-B.SE,,
SE0002452623,"HEXPOL AB, ser. B",HPOL-B.SE,,
SE0000105496,Graningeverkens AB,GGRAN.SE,,
SE0011089200,"NetEnt AB, ser. B",NET-B.SE,,
SE0001413600,Wihlborgs Fastigheter,WIHL.SE,,
SE0001789306,"Securitas Direct AB, ser. B",SDIR-B.SE,,
SE0005876943,Net Entertainment NE AB ser. B,NET-B.SE,,
SE0000739286,Vostok Oil,VOIL.SE,,
SE0000325532,"Enator AB, fria",ENAT.SE,,
SE0010133819,SECTRA AB ser B,SECT-B.SE,,
SE0000195802,Atle AB,ATLE.SE,,
SE0005217379,Betsson B,BETS-B.SE,,
SE0005935558,"Fagerhult, AB",FAG.SE,,
SE0001835588,Unibet Group Plc,UNIB-SDB.SE,,
SE0001207606,Ainax,AINX.SE,,
SE0000390296,NIBE Industrier AB ser. B,NIBE-B.SE,,
SE0000367823,"Vostok Nafta, Inv Ltd SDB",VOST-SDB.SE,,
SE0000718017,Eniro,ENRO.SE,,
SE0000118945,"Stora Kopparb. Bergsl.AB, B,fr",STOR-B.SE,,
SE0000115008,"Wallenstam AB,  ser. B",WALL-B.SE,,
SE0000262982,Cardo AB,CARD.SE,,
SE0000101057,Avesta Sheffield AB,AVES.SE,,
SE0000171506,Mo och Domsjö AB ser. A,MODO-A.SE,,
SE0008613970,SECTRA AB ser B,SECT-B.SE,,
SE0000164600,Invik & Co AB ser. A,INVK-A.SE,,
