Characteristic,Small_Coverage,Mid_Coverage,Large_Coverage,Bias_Large_vs_Small
op,0.2,1.5,9.9,9.700000000000001
momentum_12m,82.1,85.5,90.0,7.900000000000006
mom36m,79.4,80.1,86.7,7.299999999999997
gross_profitability,87.7,87.9,91.4,3.700000000000003
capex_to_assets,87.7,87.9,91.4,3.700000000000003
asset_quality,87.7,87.9,91.4,3.700000000000003
cfo_to_assets,87.7,87.9,91.4,3.700000000000003
asset_growth,82.7,82.0,85.9,3.200000000000003
sales_growth,82.7,82.0,85.9,3.200000000000003
cfp_ratio,90.8,91.1,93.9,3.1000000000000085
std_dolvol,94.7,95.3,97.2,2.5
std_turn,94.7,95.3,97.2,2.5
ni,96.2,97.0,98.1,1.8999999999999915
asset_turnover,93.5,93.2,95.2,1.7000000000000028
ep_ratio,93.5,93.2,95.2,1.7000000000000028
sp_ratio,93.5,93.2,95.2,1.7000000000000028
roa,93.5,93.2,95.2,1.7000000000000028
mom6m,96.8,97.2,98.3,1.5
debt_to_equity,90.1,90.4,91.5,1.4000000000000057
svar,94.5,94.3,95.7,1.2000000000000028
pm,93.1,92.6,94.2,1.1000000000000085
sue,58.9,56.8,60.0,1.1000000000000014
price_to_assets,95.5,95.0,96.3,0.7999999999999972
return_1m,98.8,98.9,99.2,0.4000000000000057
zerotrade,100.0,100.0,100.0,0.0
me_ia,100.0,100.0,100.0,0.0
turnover,100.0,99.9,99.9,-0.09999999999999432
dolvol,100.0,99.9,99.9,-0.09999999999999432
book_to_market,99.1,99.1,97.2,-1.8999999999999915
bm_ia,99.1,99.1,97.2,-1.8999999999999915
roe,65.3,57.5,57.8,-7.5
