num_iter,eta,min_leaf_size,max_depth,num_cutpoints,mean_val_sharpe
25,0.05,10,4,50,1.23746143647643
25,0.05,10,6,50,1.13126997111786
25,0.05,25,4,50,1.07768662411511
25,0.05,25,6,50,1.04670527432839
25,0.1,10,4,50,1.23897882669504
25,0.1,10,6,50,1.13228646853636
25,0.1,25,4,50,1.08113015034722
25,0.1,25,6,50,1.04902459325776
50,0.05,10,4,50,1.23746143647643
50,0.05,10,6,50,1.13126997111786
50,0.05,25,4,50,1.07768662411511
50,0.05,25,6,50,1.04670527432839
50,0.1,10,4,50,1.23897882669504
50,0.1,10,6,50,1.13228646853636
50,0.1,25,4,50,1.08113015034722
50,0.1,25,6,50,1.04902459325776
