"window","train_start","train_end","test_start","test_end","is_sharpe","oos_sharpe","degradation_pct"
1,"1997-03-27","2002-02-28","2002-03-28","2003-02-28",1.8145480639868,0.60262134421314,-66.7894526370879
2,"1998-03-31","2003-02-28","2003-03-31","2004-02-27",2.67891941948797,1.38417642968068,-48.3307926467888
3,"1999-03-31","2004-02-27","2004-03-31","2005-02-28",3.47875793968222,7.96633116182438,128.999295149351
4,"2000-03-31","2005-02-28","2005-03-31","2006-02-28",3.99813972104987,4.17998522721974,4.54825290903333
5,"2001-03-30","2006-02-28","2006-03-31","2007-02-28",4.08306823440857,2.87720375307071,-29.5332924190656
6,"2002-03-28","2007-02-28","2007-03-30","2008-02-29",4.10211623024051,-0.311942540009089,-107.604429579773
7,"2003-03-31","2008-02-29","2008-03-31","2009-02-27",2.78089155194763,-2.67027361560762,-196.022213226455
8,"2004-03-31","2009-02-27","2009-03-31","2010-02-26",2.57618321049113,2.15547889989569,-16.330527614736
9,"2005-03-31","2010-02-26","2010-03-31","2011-02-28",2.1329470098031,2.4530868137193,15.00927132483
10,"2006-03-31","2011-02-28","2011-03-31","2012-02-29",2.49336407624642,1.61266770575006,-35.3216114279701
11,"2007-03-30","2012-02-29","2012-03-30","2013-02-28",2.43574161222021,2.18331978897604,-10.3632430458863
12,"2008-03-31","2013-02-28","2013-03-28","2014-02-28",2.26018331800167,0.922413686897186,-59.1885454798979
13,"2009-03-31","2014-02-28","2014-03-31","2015-02-27",2.60880913363119,2.56467789122178,-1.69162403797568
14,"2010-03-31","2015-02-27","2015-03-31","2016-02-29",3.27657727949441,1.03918858300541,-68.2843255518832
15,"2011-03-31","2016-02-29","2016-03-31","2017-02-28",2.04623470602767,2.75276844407373,34.5284798447018
16,"2012-03-30","2017-02-28","2017-03-31","2018-02-28",2.68220564590053,1.57318055221295,-41.3475042595114
17,"2013-03-28","2018-02-28","2018-03-29","2019-02-28",2.78893444231152,1.78357329462033,-36.0482172846602
18,"2014-03-31","2019-02-28","2019-03-29","2020-02-28",2.46565684222734,3.06944618196847,24.4879712943226
19,"2015-03-31","2020-02-28","2020-03-31","2021-02-26",2.76840012492235,1.76650286954117,-36.1904786219905
20,"2016-03-31","2021-02-26","2021-03-31","2022-02-28",1.61213587345756,1.26918815885772,-21.2728790572919
