Scenario,Data_Type,TC_Level,Turnover_Level,TC_bps,Turnover_pct,Gross_Return_pct,Cost_Drag_pct,Net_Return_pct,Volatility_pct,Net_Sharpe
A: Full Sample,IS,Low,Low,50,50.0,21.542187838193566,3.0,18.542187838193566,7.972586180096464,2.3257431678172487
A: Full Sample,IS,Low,Medium,50,100.0,21.542187838193566,6.0,15.542187838193566,7.972586180096464,1.9494537264450762
A: Full Sample,IS,Low,High,50,150.0,21.542187838193566,9.0,12.542187838193566,7.972586180096464,1.5731642850729037
A: Full Sample,IS,Medium,Low,75,50.0,21.542187838193566,4.5,17.042187838193566,7.972586180096464,2.1375984471311624
A: Full Sample,IS,Medium,Medium,75,100.0,21.542187838193566,9.0,12.542187838193566,7.972586180096464,1.5731642850729037
A: Full Sample,IS,Medium,High,75,150.0,21.542187838193566,13.5,8.042187838193566,7.972586180096464,1.0087301230146453
A: Full Sample,IS,High,Low,100,50.0,21.542187838193566,6.0,15.542187838193566,7.972586180096464,1.9494537264450762
A: Full Sample,IS,High,Medium,100,100.0,21.542187838193566,12.0,9.542187838193566,7.972586180096464,1.1968748437007315
A: Full Sample,IS,High,High,100,150.0,21.542187838193566,18.0,3.5421878381935663,7.972586180096464,0.4442959609563867
B: Time Split (OOS),OOS,Low,Low,50,50.0,7.811647856258157,3.0,4.811647856258157,4.269329156359707,1.1270266779713147
B: Time Split (OOS),OOS,Low,Medium,50,100.0,7.811647856258157,6.0,1.8116478562581566,4.269329156359707,0.42434016912457484
B: Time Split (OOS),OOS,Low,High,50,150.0,7.811647856258157,9.0,-1.1883521437418434,4.269329156359707,-0.27834633972216505
B: Time Split (OOS),OOS,Medium,Low,75,50.0,7.811647856258157,4.5,3.3116478562581566,4.269329156359707,0.7756834235479447
B: Time Split (OOS),OOS,Medium,Medium,75,100.0,7.811647856258157,9.0,-1.1883521437418434,4.269329156359707,-0.27834633972216505
B: Time Split (OOS),OOS,Medium,High,75,150.0,7.811647856258157,13.5,-5.688352143741843,4.269329156359707,-1.332376102992275
B: Time Split (OOS),OOS,High,Low,100,50.0,7.811647856258157,6.0,1.8116478562581566,4.269329156359707,0.42434016912457484
B: Time Split (OOS),OOS,High,Medium,100,100.0,7.811647856258157,12.0,-4.188352143741843,4.269329156359707,-0.9810328485689049
B: Time Split (OOS),OOS,High,High,100,150.0,7.811647856258157,18.0,-10.188352143741843,4.269329156359707,-2.386405866262385
C: Reverse Split (OOS),OOS,Low,Low,50,50.0,38.69371469015463,3.0,35.69371469015463,13.126032087540684,2.719307285865569
C: Reverse Split (OOS),OOS,Low,Medium,50,100.0,38.69371469015463,6.0,32.69371469015463,13.126032087540684,2.490753829650296
C: Reverse Split (OOS),OOS,Low,High,50,150.0,38.69371469015463,9.0,29.69371469015463,13.126032087540684,2.262200373435023
C: Reverse Split (OOS),OOS,Medium,Low,75,50.0,38.69371469015463,4.5,34.19371469015463,13.126032087540684,2.6050305577579325
C: Reverse Split (OOS),OOS,Medium,Medium,75,100.0,38.69371469015463,9.0,29.69371469015463,13.126032087540684,2.262200373435023
C: Reverse Split (OOS),OOS,Medium,High,75,150.0,38.69371469015463,13.5,25.19371469015463,13.126032087540684,1.919370189112113
C: Reverse Split (OOS),OOS,High,Low,100,50.0,38.69371469015463,6.0,32.69371469015463,13.126032087540684,2.490753829650296
C: Reverse Split (OOS),OOS,High,Medium,100,100.0,38.69371469015463,12.0,26.69371469015463,13.126032087540684,2.0336469172197496
C: Reverse Split (OOS),OOS,High,High,100,150.0,38.69371469015463,18.0,20.69371469015463,13.126032087540684,1.5765400047892035
