Characteristic,Coverage (%),Mean,SD
rank_acc,100,-0.000359484453561921,0.374990077034103
rank_agr,100,0.000407000265334104,0.553630542599474
rank_ato,100,0.000300450281167689,0.552298636284456
rank_baspread,100,0.000100022448924834,0.574489770058634
rank_bm,100,0.000557767721869778,0.576498831180162
rank_cash,100,-0.000342580780366561,0.576702162429123
rank_cashdebt,100,-0.000196828828100554,0.574711235690833
rank_cfp,100,0.000565629440413545,0.396658760921174
rank_chcsho,100,-0.000275941894478987,0.551291846048677
rank_chpm,100,-0.000341004540505718,0.489478727597385
rank_chtx,100,0.000477575472820695,0.493844714768016
rank_cinvest,100,0.000200985492644729,0.292522981977672
rank_depr,100,-9.55408949510828e-05,0.173260560370757
rank_dolvol,100,2.64238979086368e-06,0.567605024371262
rank_ep,100,0.00110848799970637,0.57698826999901
rank_gma,100,0.00049345707026173,0.575718060718878
rank_grltnoa,100,6.80349371472778e-06,0.492955010185911
rank_hire,100,0.000333883599240555,0.528609856427783
rank_ill,100,-0.000207931474144891,0.561793419667999
rank_lev,100,0.000549568418766807,0.577751828892061
rank_lgr,100,0.000501322302859294,0.476610684047073
rank_maxret,100,8.57486884275194e-05,0.561361817412657
rank_me,100,0.00107304854119883,0.579563607624245
rank_mom12m,100,-0.00050279178485597,0.552329044271205
rank_mom1m,100,0.000142723786046987,0.577026950008056
rank_mom36m,100,0.00064742009082235,0.49434230931308
rank_mom60m,100,0.000357554171298661,0.441001958346296
rank_mom6m,100,-0.00103188964328923,0.564156884127956
rank_ni,100,-0.000275941894478987,0.551291846048677
rank_noa,100,9.12815996531882e-05,0.52082868972707
rank_op,100,0.00046210395433661,0.577298591221703
rank_pctacc,100,-0.000279828205265908,0.370710454482764
rank_pm,100,-0.000466893490208639,0.519462589354983
rank_rna,100,0.000620262835261249,0.575830621788515
rank_roa,100,0.00037417725934251,0.575966057940769
rank_roe,100,0.000418956426049436,0.574980047581022
rank_seas1a,100,0.000388609562103287,0.554995315750562
rank_sgr,100,7.31731685327839e-05,0.507561788739954
rank_sp,100,-0.000395003250341816,0.575960804611572
rank_std_dolvol,100,-0.00150010974896864,0.567067705868896
rank_std_turn,100,-0.00186133038556472,0.568069938593477
rank_svar,100,0.000592008019664748,0.561136663301541
rank_turn,100,-0.00140103550753422,0.568397257820888
rank_zerotrade,100,0,0
