date,ric,close,adj_close,volume_msum,shares_outstanding,shareholders_equity,total_assets,total_debt,long_term_debt,current_assets,current_liabilities,net_income,operating_income,revenue,gross_profit,depreciation_and_amortization,capital_expenditures_cumulative
2024-01-31 23:59:59.999999999,ERICb.ST,57.73,57.73,14755519,3068386446.0,135034000000.0,349537000000.0,42234000000.0,33764000000.0,173803000000.0,145620000000.0,18724000000.0,27020000000.0,271546000000.0,113490000000.0,,-6197000000.0
2024-02-29 23:59:59.999999999,ERICb.ST,56.23,56.23,9408381,3068386446.0,135034000000.0,349537000000.0,42234000000.0,33764000000.0,173803000000.0,145620000000.0,18724000000.0,27020000000.0,271546000000.0,113490000000.0,,-6197000000.0
2024-03-31 23:59:59.999999999,ERICb.ST,57.64,57.64,0,3068386446.0,173668000000.0,297036000000.0,54328000000.0,34438000000.0,154988000000.0,129399000000.0,-26446000000.0,-20326000000.0,263351000000.0,104404000000.0,,-5470000000.0
2024-04-30 23:59:59.999999999,ERICb.ST,56.22,56.22,4659435,3068386446.0,173668000000.0,297036000000.0,54328000000.0,34438000000.0,154988000000.0,129399000000.0,-26446000000.0,-20326000000.0,263351000000.0,104404000000.0,,-5470000000.0
2024-05-31 23:59:59.999999999,ERICb.ST,64.58,64.58,20825179,3068386446.0,173668000000.0,297036000000.0,54328000000.0,34438000000.0,154988000000.0,129399000000.0,-26446000000.0,-20326000000.0,263351000000.0,104404000000.0,,-5470000000.0
2024-06-30 23:59:59.999999999,ERICb.ST,65.8,65.8,0,3070211209.0,159994000000.0,297036000000.0,54328000000.0,34438000000.0,154988000000.0,129399000000.0,-26446000000.0,-20326000000.0,263351000000.0,104404000000.0,,-5470000000.0
2024-07-31 23:59:59.999999999,ERICb.ST,73.26,73.26,7871286,3070211209.0,159994000000.0,297036000000.0,54328000000.0,34438000000.0,154988000000.0,129399000000.0,-26446000000.0,-20326000000.0,263351000000.0,104404000000.0,,-5470000000.0
2024-08-31 23:59:59.999999999,ERICb.ST,76.52,76.52,0,3070211209.0,159994000000.0,297036000000.0,54328000000.0,34438000000.0,154988000000.0,129399000000.0,-26446000000.0,-20326000000.0,263351000000.0,104404000000.0,,-5470000000.0
2024-09-30 23:59:59.999999999,ERICb.ST,76.72,76.72,8027714,3070420439.0,116712000000.0,297036000000.0,54328000000.0,34438000000.0,154988000000.0,129399000000.0,-26446000000.0,-20326000000.0,263351000000.0,104404000000.0,,-5470000000.0
2024-10-31 23:59:59.999999999,ERICb.ST,88.98,88.98,7364263,3070420439.0,116712000000.0,297036000000.0,54328000000.0,34438000000.0,154988000000.0,129399000000.0,-26446000000.0,-20326000000.0,263351000000.0,104404000000.0,,-5470000000.0
2024-11-30 23:59:59.999999999,ERICb.ST,88.68,88.68,0,3070420439.0,116712000000.0,297036000000.0,54328000000.0,34438000000.0,154988000000.0,129399000000.0,-26446000000.0,-20326000000.0,263351000000.0,104404000000.0,,-5470000000.0
2024-12-31 23:59:59.999999999,ERICb.ST,89.88,89.88,0,3070420439.0,156496000000.0,297036000000.0,54328000000.0,34438000000.0,154988000000.0,129399000000.0,-26446000000.0,-20326000000.0,263351000000.0,104404000000.0,,-5470000000.0
